Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Niklas Tauer,de GER,DF,Schalke 04,22,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bryan Teixeira,cv CPV,"FW,MF",Magdeburg,22,2000,9,6,536,6.0,2,0,2,1,1,1,1,0,2.5,1.7,0.2,1.9,14,6,29,0.34,0.00,0.34,0.17,0.17,0.42,0.04,0.46,0.29,0.33
Lino Tempelmann,de GER,MF,Schalke 04,24,1999,22,13,"1,116",12.4,1,1,2,1,0,0,2,0,0.6,0.6,0.9,1.4,33,43,27,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.11,0.05,0.11
Simon Terodde,de GER,FW,Schalke 04,35,1988,28,23,"1,987",22.1,5,5,10,4,1,1,1,0,7.3,6.5,2.4,8.9,7,25,93,0.23,0.23,0.45,0.18,0.41,0.33,0.11,0.44,0.29,0.40
Robert Tesche,de GER,MF,Osnabrück,36,1987,29,23,"1,976",22.0,1,2,3,1,0,0,5,0,2.3,2.3,1.6,3.8,11,82,42,0.05,0.09,0.14,0.05,0.14,0.10,0.07,0.18,0.10,0.18
Cedric Teuchert,de GER,"FW,MF",Hannover 96,26,1997,27,12,"1,266",14.1,11,1,12,5,6,6,4,0,10.4,5.8,2.6,8.4,36,44,89,0.78,0.07,0.85,0.36,0.43,0.73,0.19,0.92,0.41,0.59
Maximilian Thalhammer,de GER,"MF,DF",Osnabrück,26,1997,16,9,825,9.2,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,8,20,4,0.00,0.11,0.11,0.00,0.11,0.01,0.01,0.02,0.01,0.02
Marco Thiede,de GER,DF,Karlsruher,31,1992,20,4,633,7.0,1,1,2,1,0,0,1,0,0.1,0.1,0.2,0.3,5,16,21,0.14,0.14,0.28,0.14,0.28,0.02,0.03,0.05,0.02,0.05
Boris Tomiak,de GER,"DF,MF",Kaiserslautern,24,1998,30,30,"2,592",28.8,4,2,6,2,2,2,6,2,2.4,0.8,2.2,3.0,42,107,18,0.14,0.07,0.21,0.07,0.14,0.08,0.08,0.16,0.03,0.10
Almamy Touré,ml MLI,DF,Kaiserslautern,27,1996,11,10,838,9.3,1,2,3,1,0,0,1,1,2.0,2.0,1.6,3.6,3,30,10,0.11,0.21,0.32,0.11,0.32,0.21,0.17,0.39,0.21,0.39
Nicolo Tresoldi,de GER,FW,Hannover 96,18,2004,30,24,"1,972",21.9,7,2,9,7,0,0,1,0,9.0,9.0,1.0,10.0,20,22,95,0.32,0.09,0.41,0.32,0.41,0.41,0.05,0.46,0.41,0.46
Philipp Treu,de GER,"MF,DF",St. Pauli,22,2000,26,17,"1,498",16.6,1,2,3,1,0,0,1,0,0.5,0.5,2.2,2.7,42,61,51,0.06,0.12,0.18,0.06,0.18,0.03,0.13,0.16,0.03,0.16
Christos Tzolis,gr GRE,"FW,MF",Düsseldorf,21,2002,30,28,"2,367",26.3,22,6,28,17,5,6,5,0,18.0,13.3,6.7,20.0,89,86,220,0.84,0.23,1.06,0.65,0.87,0.68,0.26,0.94,0.50,0.76
Takashi Uchino,jp JPN,DF,Düsseldorf,22,2001,16,4,384,4.3,1,0,1,1,0,0,3,0,0.2,0.2,0.2,0.3,10,22,12,0.23,0.00,0.23,0.23,0.23,0.04,0.04,0.08,0.04,0.08
Anthony Ujah,ng NGA,FW,Braunschweig,32,1990,23,8,926,10.3,3,2,5,3,0,0,1,0,4.5,4.5,0.9,5.5,6,21,41,0.29,0.19,0.49,0.29,0.49,0.44,0.09,0.53,0.44,0.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Urbig,de GER,GK,Greuther Fürth,19,2003,33,33,"2,969",33.0,0,0,0,0,0,0,3,0,0.0,0.0,1.0,1.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
