Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Jordi Wegmann,de GER,DF,Hallescher,21,2002,1,0,39,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Alexander Weidinger,de GER,GK,Jahn R'burg,26,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jonas Weik,de GER,"DF,MF",Sandhausen,23,2000,33,31,"2,660",29.6,0,7,7,0,0,0,4,0,0.00,0.24,0.24,0.00,0.24
Josef Welzmüller,de GER,DF,Unterhaching,33,1990,18,17,"1,428",15.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Maximilian Welzmüller,de GER,MF,Unterhaching,33,1990,25,4,665,7.4,0,1,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14
Ben Westermeier,de GER,MF,Unterhaching,20,2003,32,19,"1,608",17.9,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06
Jannik Westphal,de GER,DF,Lübeck,19,2004,2,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Andreas Wiegel,de GER,DF,Rot-Weiss Essen,32,1991,30,17,"1,654",18.4,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05
Oscar Wiklöf,fi FIN,MF,SC Freiburg II,20,2003,2,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Paul Will,de GER,MF,Dresden,24,1999,37,37,"3,222",35.8,2,1,3,2,0,0,7,0,0.06,0.03,0.08,0.06,0.08
Manuel Wintzheimer,de GER,FW,Arminia,24,1999,30,11,"1,143",12.7,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24
Marco Wolf,de GER,"FW,MF",Hallescher,22,2001,18,4,554,6.2,0,1,1,0,0,0,6,0,0.00,0.16,0.16,0.00,0.16
Maximilian Wolfram,de GER,"FW,MF",Verl,26,1997,38,27,"2,478",27.5,7,4,11,7,0,0,4,0,0.25,0.15,0.40,0.25,0.40
